Ville;actcode;Sports_pratiquables;Activités;Proprietaire;Equipements;Nature_sol;Nom_etablissement;num_voie;nom_voie
Paris;2402;Autres Danses;Loisir - Entretien - Remise en forme;Etablissement privÃ© commercial;Salle de cours collectifs;Parquet;Cmg Sport Club One Monceau;24;Rue Chazelles
Paris;8901;ActivitÃ©s de forme et de santÃ©;Loisir - Entretien - Remise en forme;Etablissement privÃ© commercial;Salle de cours collectifs;Parquet;Cmg Sport Club One Monceau;24;Rue Chazelles
Paris;3602;Musculation;Loisir - Entretien - Remise en forme;Etablissement privÃ© commercial;Salle de musculation/cardiotraining;SynthÃ©tique (hors gazon);Cmg Sport Club One Monceau;24;Rue Chazelles
Paris;8901;ActivitÃ©s de forme et de santÃ©;Loisir - Entretien - Remise en forme;Etablissement privÃ© commercial;Salle de musculation/cardiotraining;Parquet;Cmg Sport Club One Maillot;17;Rue Du Debarcadere
Paris;4301;Judo / Jujitsu / TaÃ¯so;Entrainement;Commune;Dojo / Salle d'arts martiaux;SynthÃ©tique (hors gazon);Centre Sportif Reims;32-34;Bd de Reims
Paris;1401;Boxe Anglaise;Entrainement;Commune;Dojo / Salle d'arts martiaux;SynthÃ©tique (hors gazon);Centre Sportif Reims;32-34;Bd de Reims
Paris;4401;KaratÃ©/KaratÃ© jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...;Entrainement;Commune;Salle de danse;Parquet;Centre Sportif Reims;32-34;Bd de Reims
Paris;701;Badminton, Jeu de volant;Entrainement;Commune;Salle multisports;SynthÃ©tique (hors gazon);Centre Sportif Courcelles;229;Rue de Courcelles
Paris;8901;ActivitÃ©s de forme et de santÃ©;Loisir - Entretien - Remise en forme;Etablissement privÃ© commercial;Salle de cours collectifs;Parquet;Les Cercles de La Forme Maillot;20;Rue Guersant
Paris;8901;ActivitÃ©s de forme et de santÃ©;Loisir - Entretien - Remise en forme;Etablissement privÃ© commercial;Salle de cours collectifs;Parquet;Les Cercles de La Forme Maillot;20;Rue Guersant
Paris;2901;Football / Football en salle (Futsal);Entrainement;Commune;Plateau EPS/Multisports/city-stades;SynthÃ©tique (hors gazon);Stade Porte D'AsniÃ¨res;6;Avenue Brunetiere
Paris;5201;Natation course sportive;Entrainement;Commune;Bassin sportif de natation;Carrelage;Piscine Municipale Bernard Lafay;79;Rue de La Jonquiere
Paris;4401;KaratÃ©/KaratÃ© jutsu/Goshin jutsu/Kobudo/Nihon Tai-jutsu/Taijitsu/Nambudo/Ninjutsu/Nunchaku/...;Entrainement;Commune;Dojo / Salle d'arts martiaux;SynthÃ©tique (hors gazon);Salles de Sport Bernard Lafay;26;Rue Boulay
Paris;3401;Gymnastique Artistique;Entrainement;Commune;Salle d'escrime;SynthÃ©tique (hors gazon);Gymnase Fragonard;10;Rue Fragonard
Paris;8801;Volley-ball / Volley-ball de plage (beach-volley) / Green-Volley;Entrainement;Commune;Plateau EPS/Multisports/city-stades;SynthÃ©tique (hors gazon);Terrain de Sport Lemercier;108;Rue Lemercier
Paris;701;Badminton, Jeu de volant;Entrainement;Commune;Salle multisports;Parquet;Centre Sportif LÃ©on Biancotto;6;Avenue de La Porte de Clichy
